,months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,ages_category,customer_category,Contract Years,total_premiums_paid,net_value_of_customer
19,196.0,39.0,143972.0,1992-08-02,IN,500/1000,2000.0,1475.73,0.0,477670.0,FEMALE,High School,handlers-cleaners,camping,own-child,57000.0,-27300.0,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8.0,3.0,?,2.0,0.0,NO,60400.0,6040.0,6040.0,48320.0,Nissan,Pathfinder,2014.0,N,Middle Aged,Long-Term Client,16.333333333333332,24103.59,-36296.41
20,460.0,62.0,183430.0,2002-06-25,IN,250/500,1000.0,1187.96,4000000.0,618845.0,MALE,JD,other-service,bungie-jumping,own-child,0.0,0.0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20.0,3.0,NO,1.0,0.0,?,47160.0,0.0,5240.0,41920.0,Suburu,Impreza,2011.0,N,Elderly,Long-Term Client,38.333333333333336,45538.46666666667,-1621.5333333333328
21,217.0,41.0,431876.0,2005-11-27,IL,500/1000,2000.0,875.15,0.0,442479.0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700.0,0.0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15.0,3.0,?,1.0,2.0,?,37840.0,0.0,4730.0,33110.0,Accura,RSX,1996.0,N,Middle Aged,Long-Term Client,18.083333333333332,15825.629166666666,-22014.370833333334
22,370.0,55.0,285496.0,1994-05-27,IL,100/300,2000.0,1270.0,0.0,443920.0,MALE,High School,prof-specialty,paintball,other-relative,72700.0,-68200.0,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20.0,3.0,NO,0.0,0.0,YES,71520.0,17880.0,5960.0,47680.0,Suburu,Forrestor,2000.0,Y,Middle Aged,Long-Term Client,30.833333333333332,39158.33333333333,-32361.66666666667
23,413.0,55.0,115399.0,1991-02-08,IN,100/300,2000.0,1268.79,0.0,453148.0,MALE,MD,priv-house-serv,chess,own-child,0.0,-31000.0,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15.0,1.0,?,2.0,2.0,?,98160.0,8180.0,16360.0,73620.0,Dodge,RAM,2011.0,Y,Middle Aged,Long-Term Client,34.416666666666664,43667.5225,-54492.4775
24,237.0,40.0,736882.0,1996-02-02,IN,100/300,1000.0,883.31,0.0,434733.0,MALE,College,craft-repair,kayaking,husband,0.0,-53500.0,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6.0,1.0,NO,1.0,3.0,NO,77880.0,7080.0,14160.0,56640.0,Ford,Escape,2005.0,N,Middle Aged,Long-Term Client,19.75,17445.3725,-60434.6275
25,8.0,35.0,699044.0,2013-12-05,OH,100/300,2000.0,1266.92,0.0,613982.0,MALE,Masters,sales,polo,own-child,0.0,0.0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16.0,3.0,NO,1.0,3.0,YES,71500.0,16500.0,11000.0,44000.0,Ford,Escape,2006.0,Y,Middle Aged,New Client,0.6666666666666666,844.6133333333333,-70655.38666666667
26,257.0,43.0,863236.0,1990-09-20,IN,100/300,2000.0,1322.1,0.0,436984.0,MALE,High School,prof-specialty,golf,own-child,0.0,-29200.0,2015-01-28,Parked Car,?,Minor Damage,Police,PA,Arlington,2533 Elm St,4.0,1.0,YES,1.0,3.0,YES,9020.0,1640.0,820.0,6560.0,Toyota,Camry,2005.0,N,Middle Aged,Long-Term Client,21.416666666666668,28314.975,19294.975
27,202.0,34.0,608513.0,2002-07-18,IN,100/300,500.0,848.07,3000000.0,607730.0,MALE,JD,exec-managerial,chess,not-in-family,31000.0,-30200.0,2015-01-07,Vehicle Theft,?,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,5.0,1.0,YES,2.0,1.0,?,5720.0,1040.0,520.0,4160.0,Suburu,Forrestor,2003.0,Y,Middle Aged,Long-Term Client,16.833333333333332,14275.845,8555.845
28,224.0,40.0,914088.0,1990-02-08,OH,100/300,2000.0,1291.7,0.0,609837.0,FEMALE,JD,sales,kayaking,not-in-family,0.0,-55600.0,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21.0,1.0,NO,1.0,0.0,YES,69840.0,7760.0,15520.0,46560.0,Dodge,Neon,2009.0,N,Middle Aged,Long-Term Client,18.666666666666668,24111.733333333334,-45728.26666666666
29,241.0,45.0,596785.0,2014-03-04,IL,500/1000,2000.0,1104.5,0.0,432211.0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0.0,0.0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5.0,1.0,NO,2.0,2.0,NO,91650.0,14100.0,14100.0,63450.0,Accura,TL,2011.0,N,Middle Aged,Long-Term Client,20.083333333333332,22182.041666666668,-69467.95833333333
30,64.0,25.0,908616.0,2000-02-18,IL,250/500,1000.0,954.16,0.0,473328.0,MALE,Masters,prof-specialty,video-games,husband,53200.0,0.0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22.0,4.0,NO,0.0,0.0,?,75600.0,12600.0,12600.0,50400.0,Toyota,Corolla,2005.0,N,Young Adult,Established Client,5.333333333333333,5088.8533333333335,-70511.14666666667
31,166.0,37.0,666333.0,2008-06-19,IL,100/300,2000.0,1337.28,8000000.0,610393.0,MALE,JD,craft-repair,reading,husband,27500.0,0.0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10.0,3.0,NO,2.0,2.0,?,67140.0,7460.0,7460.0,52220.0,Ford,F150,2006.0,Y,Middle Aged,Long-Term Client,13.833333333333334,18499.04,-48640.96
32,155.0,35.0,336614.0,2003-08-01,IL,500/1000,1000.0,1088.34,0.0,614780.0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100.0,0.0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16.0,3.0,YES,2.0,3.0,NO,29790.0,3310.0,3310.0,23170.0,BMW,3 Series,2008.0,N,Middle Aged,Long-Term Client,12.916666666666666,14057.724999999999,-15732.275000000001
33,114.0,30.0,584859.0,1992-04-04,IL,100/300,1000.0,1558.29,0.0,472248.0,MALE,High School,farming-fishing,video-games,wife,51400.0,-64000.0,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1.0,3.0,NO,1.0,2.0,?,77110.0,14020.0,14020.0,49070.0,Suburu,Impreza,2015.0,N,Young Adult,Established Client,9.5,14803.755,-62306.245
34,149.0,37.0,990493.0,1991-01-13,IL,500/1000,500.0,1415.68,0.0,603381.0,MALE,PhD,prof-specialty,yachting,own-child,0.0,0.0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17.0,1.0,YES,0.0,1.0,YES,64800.0,10800.0,5400.0,48600.0,Audi,A3,1999.0,N,Middle Aged,Established Client,12.416666666666666,17578.02666666667,-47221.97333333333
35,147.0,33.0,129872.0,2010-08-08,OH,100/300,1000.0,1334.15,6000000.0,479224.0,MALE,High School,craft-repair,reading,not-in-family,53300.0,-49200.0,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15.0,1.0,YES,2.0,0.0,YES,53100.0,10620.0,5310.0,37170.0,Mercedes,C300,1995.0,Y,Middle Aged,Established Client,12.25,16343.337500000001,-36756.6625
36,62.0,28.0,200152.0,2003-03-09,IL,100/300,1000.0,988.45,0.0,430141.0,FEMALE,Masters,protective-serv,camping,unmarried,0.0,0.0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3.0,1.0,?,1.0,1.0,YES,60200.0,6020.0,6020.0,48160.0,Suburu,Forrestor,2004.0,Y,Young Adult,Established Client,5.166666666666667,5106.991666666667,-55093.00833333333
37,289.0,49.0,933293.0,1993-02-03,IL,500/1000,2000.0,1222.48,0.0,620757.0,FEMALE,JD,priv-house-serv,golf,unmarried,0.0,0.0,2015-01-18,Parked Car,?,Minor Damage,None,WV,Arlington,6676 Tree Lane,16.0,1.0,NO,1.0,1.0,YES,5330.0,1230.0,820.0,3280.0,Suburu,Legacy,2001.0,N,Middle Aged,Long-Term Client,24.083333333333332,29441.393333333333,24111.393333333333
38,431.0,54.0,485664.0,2002-11-25,IN,500/1000,2000.0,1155.55,0.0,615901.0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700.0,0.0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4.0,3.0,?,2.0,0.0,?,62300.0,12460.0,6230.0,43610.0,Jeep,Wrangler,2007.0,N,Middle Aged,Long-Term Client,35.916666666666664,41503.504166666666,-20796.495833333334
39,199.0,37.0,982871.0,1997-07-27,IN,250/500,500.0,1262.08,0.0,474615.0,MALE,JD,tech-support,video-games,wife,48500.0,0.0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4.0,1.0,?,0.0,3.0,NO,60170.0,10940.0,10940.0,38290.0,Nissan,Pathfinder,2011.0,Y,Middle Aged,Long-Term Client,16.583333333333332,20929.493333333332,-39240.50666666667
40,79.0,26.0,206213.0,1995-05-08,IL,100/300,500.0,1451.62,0.0,456446.0,MALE,Associate,tech-support,kayaking,not-in-family,0.0,-55700.0,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19.0,1.0,NO,2.0,2.0,?,40000.0,8000.0,4000.0,28000.0,BMW,M5,2010.0,N,Young Adult,Established Client,6.583333333333333,9556.498333333333,-30443.501666666667
41,116.0,34.0,616337.0,2012-08-30,IN,250/500,500.0,1737.66,0.0,470577.0,MALE,Associate,transport-moving,chess,unmarried,0.0,-24100.0,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1.0,1.0,?,1.0,1.0,?,97080.0,16180.0,16180.0,64720.0,BMW,X5,2001.0,Y,Middle Aged,Established Client,9.666666666666666,16797.38,-80282.62
42,37.0,38.0,448961.0,2006-04-30,IL,500/1000,500.0,1475.93,0.0,441648.0,FEMALE,College,prof-specialty,hiking,husband,0.0,-67400.0,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17.0,3.0,YES,1.0,0.0,NO,51660.0,5740.0,5740.0,40180.0,Dodge,RAM,2010.0,N,Middle Aged,Established Client,3.0833333333333335,4550.784166666667,-47109.215833333335
43,106.0,30.0,790442.0,2003-04-13,OH,250/500,500.0,538.17,0.0,433782.0,FEMALE,PhD,transport-moving,reading,own-child,49700.0,-60200.0,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23.0,1.0,NO,2.0,2.0,NO,51120.0,5680.0,5680.0,39760.0,Mercedes,E400,2005.0,N,Young Adult,Established Client,8.833333333333334,4753.835,-46366.165
44,269.0,44.0,108844.0,2007-12-05,IL,100/300,2000.0,1081.08,0.0,468104.0,MALE,JD,priv-house-serv,reading,unmarried,36400.0,-28700.0,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14.0,1.0,YES,0.0,2.0,?,56400.0,11280.0,11280.0,33840.0,Toyota,Highlander,2014.0,N,Middle Aged,Long-Term Client,22.416666666666668,24234.209999999995,-32165.790000000005
45,265.0,40.0,430029.0,2006-08-21,IL,250/500,1000.0,1454.43,0.0,459407.0,FEMALE,MD,protective-serv,yachting,husband,0.0,0.0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17.0,3.0,NO,2.0,3.0,?,55120.0,6890.0,0.0,48230.0,Accura,MDX,2002.0,N,Middle Aged,Long-Term Client,22.083333333333332,32118.6625,-23001.3375
46,163.0,33.0,529112.0,1990-01-08,IN,100/300,500.0,1240.47,0.0,472573.0,FEMALE,Associate,other-service,polo,husband,35300.0,0.0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11.0,3.0,YES,1.0,1.0,?,77110.0,0.0,14020.0,63090.0,Honda,Civic,2014.0,N,Middle Aged,Long-Term Client,13.583333333333334,16849.7175,-60260.2825
47,355.0,47.0,939631.0,1990-03-18,OH,500/1000,2000.0,1273.7,4000000.0,433473.0,MALE,College,other-service,kayaking,husband,0.0,0.0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19.0,3.0,NO,2.0,1.0,NO,62800.0,6280.0,6280.0,50240.0,Audi,A3,2003.0,Y,Middle Aged,Long-Term Client,29.583333333333332,37680.291666666664,-25119.708333333336
48,175.0,34.0,866931.0,2008-01-07,IN,500/1000,1000.0,1123.87,8000000.0,446326.0,FEMALE,PhD,protective-serv,dancing,other-relative,0.0,0.0,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5.0,1.0,?,2.0,0.0,YES,7290.0,810.0,810.0,5670.0,Volkswagen,Passat,1995.0,N,Middle Aged,Long-Term Client,14.583333333333334,16389.770833333332,9099.770833333332
49,192.0,35.0,582011.0,1997-03-10,IL,100/300,1000.0,1245.89,0.0,435481.0,FEMALE,Masters,exec-managerial,movies,wife,0.0,-40300.0,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19.0,1.0,NO,0.0,0.0,?,76600.0,15320.0,7660.0,53620.0,Mercedes,C300,2000.0,N,Middle Aged,Long-Term Client,16.0,19934.24,-56665.759999999995
50,430.0,59.0,691189.0,2004-01-10,OH,250/500,2000.0,1326.62,7000000.0,477310.0,MALE,MD,other-service,bungie-jumping,own-child,0.0,0.0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19.0,3.0,?,0.0,3.0,YES,81800.0,16360.0,8180.0,57260.0,Nissan,Pathfinder,1998.0,N,Elderly,Long-Term Client,35.833333333333336,47537.21666666667,-34262.78333333333
51,91.0,27.0,537546.0,1994-08-20,IL,100/300,2000.0,1073.83,0.0,609930.0,FEMALE,JD,farming-fishing,polo,husband,0.0,0.0,2015-01-17,Vehicle Theft,?,Trivial Damage,None,NY,Arlington,2280 4th Ave,4.0,1.0,?,1.0,2.0,?,7260.0,1320.0,660.0,5280.0,BMW,M5,2008.0,N,Young Adult,Established Client,7.583333333333333,8143.2108333333335,883.2108333333335
52,217.0,39.0,394975.0,2002-06-02,IN,100/300,1000.0,1530.52,0.0,603993.0,MALE,College,armed-forces,basketball,not-in-family,0.0,0.0,2015-02-22,Vehicle Theft,?,Minor Damage,None,WV,Northbend,2644 Elm Drive,8.0,1.0,?,2.0,1.0,YES,4300.0,430.0,430.0,3440.0,Toyota,Corolla,2000.0,N,Middle Aged,Long-Term Client,18.083333333333332,27676.903333333335,23376.903333333335
53,223.0,40.0,729634.0,1994-04-28,IN,100/300,500.0,1201.41,0.0,437818.0,FEMALE,JD,priv-house-serv,movies,husband,88400.0,-46500.0,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7.0,3.0,YES,1.0,0.0,?,70510.0,12820.0,12820.0,44870.0,Suburu,Forrestor,1999.0,N,Middle Aged,Long-Term Client,18.583333333333332,22326.202500000003,-48183.7975
54,195.0,39.0,282195.0,2014-08-17,OH,250/500,1000.0,1393.57,0.0,478423.0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600.0,-39600.0,2015-02-27,Parked Car,?,Minor Damage,Police,VA,Northbend,5821 2nd St,5.0,1.0,NO,0.0,1.0,YES,2640.0,480.0,480.0,1680.0,Ford,F150,2009.0,N,Middle Aged,Long-Term Client,16.25,22645.5125,20005.5125
55,22.0,26.0,420810.0,2007-08-11,OH,100/300,1000.0,1276.57,0.0,467784.0,MALE,PhD,craft-repair,skydiving,not-in-family,71500.0,0.0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3.0,1.0,YES,1.0,2.0,NO,78900.0,15780.0,7890.0,55230.0,Chevrolet,Silverado,1995.0,N,Young Adult,New Client,1.8333333333333333,2340.378333333333,-76559.62166666667
56,439.0,56.0,524836.0,2008-11-20,IN,250/500,500.0,1082.49,0.0,606714.0,FEMALE,PhD,prof-specialty,chess,unmarried,36100.0,-55000.0,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12.0,3.0,?,2.0,3.0,?,56430.0,0.0,6270.0,50160.0,Honda,CRV,2014.0,N,Elderly,Long-Term Client,36.583333333333336,39601.0925,-16828.9075
57,94.0,32.0,307195.0,1995-10-18,IN,500/1000,1000.0,1414.74,0.0,464691.0,FEMALE,Masters,adm-clerical,hiking,own-child,0.0,0.0,2015-02-22,Parked Car,?,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19.0,1.0,NO,1.0,3.0,NO,2400.0,300.0,300.0,1800.0,Chevrolet,Silverado,2014.0,N,Middle Aged,Established Client,7.833333333333333,11082.13,8682.13
58,11.0,39.0,623648.0,1993-05-19,IL,250/500,2000.0,1470.06,0.0,431683.0,MALE,PhD,other-service,yachting,husband,56600.0,-45800.0,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22.0,1.0,YES,0.0,1.0,NO,65790.0,7310.0,7310.0,51170.0,Saab,93,2007.0,N,Middle Aged,New Client,0.9166666666666666,1347.5549999999998,-64442.445
